202107N3goi1,このビルの裏に小さなレストランがあります。,裏,そば,よこ,かげ,うら,うら
202107N3goi1,それではゆっくり呼吸をしてください。,呼吸,こぎゅう,こきゅう,よぎゅう,よきゅう,こきゅう
202107N3goi1,あの少年の悲しそうな顔が忘れられない。,悲しそう,やさしそう,かなしそう,きびしそう,さびしそう,かなしそう
202107N3goi1,このあたりに駐車しましょう。,駐車,しゅしゃ,しゅうしゃ,ちゅしゃ,ちゅうしゃ,ちゅうしゃ
202107N3goi1,もう逃げてしまったようだ。,逃げて,にげて,なげて,こげて,あげて,にげて
202107N3goi1,努力することは大切だと思います。,努力,どうりょく,とうりょく,どりょく,とりょく,どりょく
202107N3goi1,それは過去のことです。,過去,かこ,かこう,かきよ,かきよう,かこ
202107N3goi1,彼は話し方も動作もゆっくりしている。,動作,とうさ,とうさく,どうさ,どうさく,どうさ
201907N3goi1,この前よりも遅くなってしまいました。,遅く,おそく,きたなく,みじかく,とおく,おそく
201907N3goi1,このペンを使って線をかいてください。,線,ず,せん,え,もじ,せん
201907N3goi1,夏休みは調査に行くつもりです。,調査,ちょうさつ,ちょうさ,かんさ,かんさつ,ちょうさ
201907N3goi1,今朝、郵便が届きました,郵便,ゆべん,ゆびん,ゆうべん,ゆうびん,ゆうびん
201907N3goi1,腰に薬を塗ってもらった,腰,むね,かた,こし,くび,こし
201907N3goi1,歩いているうちに方角がわからなくなった,方角,ほうがく,ほうこう,ほうかく,ほうごう,ほうがく
201907N3goi1,これを包んでもらえませんか。,包んで,むすんで,あんで,つつんで,はこんで,つつんで
201907N3goi1,昼食の後は工場見学です。,昼食,しょうしょく,ちょうしょく,しゅうしょく,ちゅうしょく,ちゅうしょく
201912N3goi1,10時に予約をお願いします。,予約,ようよく,よやく,よよく,ようやく,よやく
201912N3goi1,そのときは、私も若かったんです。,若かった,わるかった,さむかった,こわかった,わかかった,わかかった
201912N3goi1,上品な人ですね。,上品,じょうひん,じょうびん,じょひん,じょぴん,じょうひん
201912N3goi1,山田さんに助けてもらった。,助けて,とどけて,たすけて,うけて,かたづけて,たすけて
201912N3goi1,私たちの未来について考えてみた。,未来,しょらい,しょうらい,みらい,みいらい,みらい
201912N3goi1,この電車は各駅にとまります。,各駅,かくえき,がくえき,きゃくえき,ぎゃくえき,かくえき
201912N3goi1,誰が勝ったんですか。,勝った,かざった,おった,のこった,かった,かった
201912N3goi1,彼に初めて会ったときの印象はどうでしたか。,印象,いんしょう,いんそう,にんしょう,にんそう,いんしょう
201812N3goi1,息子は来年卒業します。,卒業,さつきょう,そつぎょう,そつきょう,さつぎょう,そつぎょう
201812N3goi1,留学について先生に相談した。,相談,しょうたん,しょうだん,そうたん,そうだん,そうだん
201812N3goi1,確かにかばんにしまいました。,確か,たしか,しずか,たじか,しすか,たしか
201812N3goi1,子どもたちが遊ぶ声が聞こえます。,遊ぶ,よぶ,あそぶ,まなぶ,さけぶ,あそぶ
201812N3goi1,店の人はみんな同じ制服を着ていた。,制服,ようふく,せいふう,せいふく,ようふう,せいふく
201812N3goi1,鈴木さんが換えてくれました。,換えて,かえて,くわえて,つかまえて,つたえて,かえて
201812N3goi1,血圧が前よりも高かったようです。,血圧,ちど,けつど,けつあつ,ちあつ,けつあつ
201812N3goi1,改札の前で会いましょう。,改札,けいせつ,けいさつ,かいせつ,かいさつ,かいさつ
202112N3goi1,この国の人は自然を大切にしている。,自然,しぜん,じぜん,しせん,じせん,しぜん
202112N3goi1,あと30秒で完成します。,秒,じょう,しょう,びょう,ひょう,びょう
202112N3goi1,夏休みも残り三日になってしまった。,残り,もどり,おわり,のこり,あまり,のこり
202112N3goi1,このグラフは、人口の増減を表している。,増減,ぞうけん,ぞうげん,じょうけん,じょうげん,ぞうげん
202112N3goi1,面接の結果は、1週間以内に通知します。,通知,つうち,とおち,つうし,とおし,つうち
202112N3goi1,庭に生えた草にきれいな花が咲いていた。,生えた,はえた,せいえた,しょうえた,うえた,はえた
202112N3goi1,外国で一人暮らしをしているので、国の料理が恋しくなる。,恋しく,なつかしく,うれしく,ほしく,こいしく,こいしく
202112N3goi1,これを郵送してください。,郵送,ほそう,ほうそう,ゆそう,ゆうそう,ゆうそう
202012N3goi1,まず、この問題を調査します。,調査,ちょうさ,ちょうさつ,ちょさ,ちょさつ,ちょうさ
202012N3goi1,どんな種類がありますか。,種類,しゅれい,じゅれい,しゅるい,じゅるい,しゅるい
202012N3goi1,この辺は岩が多い場所だ。,岩,かい,いわ,すな,どろ,いわ
202012N3goi1,たくさんの人と交流する。,交流,ごうりゅ,ごうりゅう,こうりゅ,こうりゅう,こうりゅう
202012N3goi1,荷物はフロントに預けておきました。,預けて,とどけて,あすけて,あずけて,ととけて,あずけて
202012N3goi1,わたしは、普通、7時に起きます。,普通,ふうだん,ふうつう,ふだん,ふつう,ふつう
202012N3goi1,理由もなく疑ってはいけないと思う。,疑って,ことわって,うたがって,きらって,おこって,うたがって
202012N3goi1,来週は旅行で家を留守にします。,留守,るす,るしゅ,りゅうす,りゅうしゅ,るす
